size;shape;run;validation_time;extraction_time
5;tyrol/aggregateratingshape.ttl;1;0.0012636669999892547;0.0011776200000213066
5;tyrol/airportshape.ttl;1;0.05537519999995766;0.05805185900004517
5;tyrol/amusementparkshape.ttl;1;0.10166426400002138;0.10742765600002713
5;tyrol/automotivebusinessshape.ttl;1;0.4319584240000154;0.4507616189999908
5;tyrol/bakeryshape.ttl;1;0.5059763559999624;0.5171183690000021
5;tyrol/bankorcreditunionshape.ttl;1;0.21145560700000487;0.22203744800003733
5;tyrol/barorpubshape.ttl;1;2.6746812229999932;2.8256390880000026
5;tyrol/beachshape.ttl;1;0.036578288999976394;0.03803034100002378
5;tyrol/bodyofwatershape.ttl;1;0.1032982469999979;0.10772202399999742
5;tyrol/bowlingalleyshape.ttl;1;0.004703082999981234;0.004558806999966691
5;tyrol/busstationshape.ttl;1;0.019773188999977265;0.020372190999978557
5;tyrol/busstop.ttl;1;0.08904906499998333;0.09186497700000018
5;tyrol/cafeorcoffeeshopshape.ttl;1;2.4391685269999925;2.519005655000001
5;tyrol/campgroundshape.ttl;1;0.15189725400000498;0.1582175909999819
5;tyrol/childcarepath.ttl;1;0.24737366599998722;0.255540031999999
5;tyrol/churchshape.ttl;1;0.3299705059999951;0.3411574650000375
5;tyrol/cityhallshape.ttl;1;0.061110847000009016;0.06336283600001025
5;tyrol/civicstructureshape.ttl;1;1.6999614320000092;1.800194733000012
5;tyrol/contactpointshape.ttl;1;6.143041498000002;6.381900016999964
5;tyrol/drycleaningorlaundryshape.ttl;1;0.675395170999991;0.700106538
5;tyrol/educationalorganizationshape.ttl;1;0.41146489699997346;0.432648735999976
5;tyrol/emergencyserviceshape.ttl;1;0.10404607399999577;0.10817322099995863
5;tyrol/entertainmentbusinessshape.ttl;1;0.9277682070000424;0.9731825220000019
5;tyrol/eventshape.ttl;1;;
5;tyrol/financialserviceshape.ttl;1;0.4494678560000125;0.46902677500003165
5;tyrol/foodestablishmentshape.ttl;1;0.6889734029999772;0.722787707000009
5;tyrol/geocoordinatesshape.ttl;1;1081.3323668839998;1137.874206765
5;tyrol/geoshapeshape.ttl;1;2.3150840359999734;2.4015819680000163
5;tyrol/golfcourseshape.ttl;1;0.18648072900003854;0.1967964969999798
5;tyrol/governmentbuildingshape.ttl;1;0.25872233600000527;0.2744664420000049
5;tyrol/healthandbeautybusinessshape.ttl;1;0.9375231189999909;0.9964363300000514
5;tyrol/hotelshape.ttl;1;;
5;tyrol/icecreamshopshape.ttl;1;0.09041697700001805;0.09414210400001366
5;tyrol/imageobjectshape.ttl;1;2978.7517855200003;3231.261367792
5;tyrol/lakebodyofwatershape.ttl;1;0.07090213899999753;0.06959947899997587
5;tyrol/landmarksorhistoricalbuildingsshape.ttl;1;0.0791885040000011;0.08183062900002369
5;tyrol/libraryshape.ttl;1;0.06078223899999102;0.06324739100000443
5;tyrol/localbusinesshape.ttl;1;;
5;tyrol/locationfeaturespecificationshape.ttl;1;23.641544546000034;24.190167766000002
5;tyrol/movietheathershape.ttl;1;0.013673707999998896;0.013979294000023401
5;tyrol/offershape.ttl;1;23.955439891000026;24.698811712999998
5;tyrol/openinghoursspecificationshape.ttl;1;8.213349564999987;8.629578976999994
5;tyrol/organizationshape.ttl;1;1.7662270240000453;1.8377805389999935
5;tyrol/parkshape.ttl;1;0.03497510599999032;0.03670815999998922
5;tyrol/personshape.ttl;1;0.272782712000037;0.28944288600001755
5;tyrol/placeshape.ttl;1;2416.220441063;2528.271768166
5;tyrol/postaladdressshape.ttl;1;1656.185174381;1725.564911984
5;tyrol/ratingshape.ttl;1;0.12923432900004173;0.13312673499996208
5;tyrol/restaurantshape.ttl;1;5.234028852999984;5.553902343999994
5;tyrol/serviceshape.ttl;1;0.2181206399999951;0.22894966699999486
5;tyrol/skiresortshape.ttl;1;1.7286991369999782;1.810090559999992
5;tyrol/sportsactivityshape.ttl;1;10.859256830999982;11.241929486000004
5;tyrol/storeshape.ttl;1;0.004776807999974153;0.004734746999986328
5;tyrol/touristattractionshape.ttl;1;0.7432730680000077;0.7919648530000245
5;tyrol/touristinformationcentershape.ttl;1;0.19213927399999875;0.2021990810000034
5;tyrol/travelactionshape.ttl;1;0.5000481339999965;0.5184036420000098
5;tyrol/wineryshape.ttl;1;0.11844352700001082;0.12988156500000514
5;tyrol/aggregateratingshape.ttl;2;0.0012382539999862274;0.001183850000018083
5;tyrol/airportshape.ttl;2;0.056287010000005466;0.057499141999983294
5;tyrol/amusementparkshape.ttl;2;0.10326797999999826;0.10687684600003422
5;tyrol/automotivebusinessshape.ttl;2;0.43411648200003583;0.4488281049999614
5;tyrol/bakeryshape.ttl;2;0.5081835259999821;0.5335221329999627
5;tyrol/bankorcreditunionshape.ttl;2;0.21242506900000535;0.22342813500000602
5;tyrol/barorpubshape.ttl;2;2.6473242569999798;2.8090535199999636
5;tyrol/beachshape.ttl;2;0.036504909999962365;0.03842460499998879
5;tyrol/bodyofwatershape.ttl;2;0.10266883299999563;0.10905578500000956
5;tyrol/bowlingalleyshape.ttl;2;0.004665915000032328;0.004586797999991177
5;tyrol/busstationshape.ttl;2;0.019784001999994416;0.020599741000012273
5;tyrol/busstop.ttl;2;0.08959552699997175;0.09261856000000535
5;tyrol/cafeorcoffeeshopshape.ttl;2;2.4084491210000465;2.5285039930000153
5;tyrol/campgroundshape.ttl;2;0.15125762999997505;0.15809977200001413
5;tyrol/childcarepath.ttl;2;0.24280771999997341;0.2555439640000259
5;tyrol/churchshape.ttl;2;0.3281551880000393;0.3395014249999804
5;tyrol/cityhallshape.ttl;2;0.060475777000021935;0.06400127699998848
5;tyrol/civicstructureshape.ttl;2;1.7062254720000283;1.832484036999972
5;tyrol/contactpointshape.ttl;2;6.082916398000009;6.381085593000023
5;tyrol/drycleaningorlaundryshape.ttl;2;0.6715893219999884;0.696814130000007
5;tyrol/educationalorganizationshape.ttl;2;0.40903740699997115;0.4432640669999728
5;tyrol/emergencyserviceshape.ttl;2;0.10226940500001547;0.10824057700000367
5;tyrol/entertainmentbusinessshape.ttl;2;0.9160946720000425;0.9693145850000064
5;tyrol/eventshape.ttl;2;;
5;tyrol/financialserviceshape.ttl;2;0.44613716999998587;0.48004370800003926
5;tyrol/foodestablishmentshape.ttl;2;0.6844504389999884;0.725741567
5;tyrol/geocoordinatesshape.ttl;2;1082.8406846750001;1147.549749997
5;tyrol/geoshapeshape.ttl;2;2.3196711929999765;2.4632429279999997
5;tyrol/golfcourseshape.ttl;2;0.18923811000001933;0.19676271599996653
5;tyrol/governmentbuildingshape.ttl;2;0.26018992600000956;0.2851898450000476
5;tyrol/healthandbeautybusinessshape.ttl;2;0.9417155450000223;0.978835370000013
5;tyrol/hotelshape.ttl;2;;
5;tyrol/icecreamshopshape.ttl;2;0.08981445900002427;0.09381723499996042
5;tyrol/imageobjectshape.ttl;2;3001.115331006;3235.665544786
5;tyrol/lakebodyofwatershape.ttl;2;0.06704601699999557;0.06964013399999658
5;tyrol/landmarksorhistoricalbuildingsshape.ttl;2;0.07911810199999536;0.08248310700003003
5;tyrol/libraryshape.ttl;2;0.060638003999997636;0.06335142400001814
5;tyrol/localbusinesshape.ttl;2;;
5;tyrol/locationfeaturespecificationshape.ttl;2;23.24193455599999;24.162418050999975
5;tyrol/movietheathershape.ttl;2;0.013784410000027947;0.014075160999993841
5;tyrol/offershape.ttl;2;24.001283807999982;24.83401376400002
5;tyrol/openinghoursspecificationshape.ttl;2;8.230124294999996;8.713754946999984
5;tyrol/organizationshape.ttl;2;1.7714890109999715;1.826629287000003
5;tyrol/parkshape.ttl;2;0.035202321999975084;0.036667350000016086
5;tyrol/personshape.ttl;2;0.26678504699998484;0.2867504760000088
5;tyrol/placeshape.ttl;2;2379.51804611;2529.15775369
5;tyrol/postaladdressshape.ttl;2;1644.188469427;1717.376703111
5;tyrol/ratingshape.ttl;2;0.12651537099998222;0.130466336999973
5;tyrol/restaurantshape.ttl;2;5.33261463499997;5.517904928000007
5;tyrol/serviceshape.ttl;2;0.22204396300003282;0.24057544999999436
5;tyrol/skiresortshape.ttl;2;1.735866043000044;1.8026172140000085
5;tyrol/sportsactivityshape.ttl;2;10.780084620999958;11.509062121999989
5;tyrol/storeshape.ttl;2;0.004871183999966888;0.004716599999994742
5;tyrol/touristattractionshape.ttl;2;0.7554622339999923;0.7951112970000054
5;tyrol/touristinformationcentershape.ttl;2;0.19370743700000048;0.2011557470000298
5;tyrol/travelactionshape.ttl;2;0.48897022899996045;0.518723953999995
5;tyrol/wineryshape.ttl;2;0.11867274299999053;0.12311878200000592
5;tyrol/aggregateratingshape.ttl;3;0.0012262210000244522;0.0011838099999863516
5;tyrol/airportshape.ttl;3;0.05564682599998605;0.057965402999968774
5;tyrol/amusementparkshape.ttl;3;0.1010782870000071;0.10804167999998526
5;tyrol/automotivebusinessshape.ttl;3;0.4349500920000082;0.4570960959999866
5;tyrol/bakeryshape.ttl;3;0.5060245429999668;0.527297558999976
5;tyrol/bankorcreditunionshape.ttl;3;0.21135273300001245;0.22104477599998518
5;tyrol/barorpubshape.ttl;3;2.6911642250000227;2.8356168340000067
5;tyrol/beachshape.ttl;3;0.037259332000019185;0.037931125000000065
5;tyrol/bodyofwatershape.ttl;3;0.10394215700000586;0.10958674200003315
5;tyrol/bowlingalleyshape.ttl;3;0.004791540999974586;0.004577557999994042
