size;shape;run;validation_time;extraction_time
1;tyrol/aggregateratingshape.ttl;1;0.0011723900000006893;0.0012299700000042435
1;tyrol/airportshape.ttl;1;0.055362281000000735;0.05796699400000449
1;tyrol/amusementparkshape.ttl;1;0.10155500799999828;0.10777344899999974
1;tyrol/automotivebusinessshape.ttl;1;0.438022655999994;0.4548615940000005
1;tyrol/bakeryshape.ttl;1;0.503413100000003;0.5216099249999999
1;tyrol/bankorcreditunionshape.ttl;1;0.21108290799999452;0.22522496900000277
1;tyrol/barorpubshape.ttl;1;2.7095202320000027;2.8163482520000045
1;tyrol/beachshape.ttl;1;0.037266303000002665;0.03839299999999923
1;tyrol/bodyofwatershape.ttl;1;0.10271271700000284;0.10899232999999953
1;tyrol/bowlingalleyshape.ttl;1;0.0046945830000026945;0.004638509000002955
1;tyrol/busstationshape.ttl;1;0.020489553000004435;0.021156790999995678
1;tyrol/busstop.ttl;1;0.08850213600000245;0.09324393300000366
1;tyrol/cafeorcoffeeshopshape.ttl;1;2.384497762999999;2.5203895180000018
1;tyrol/campgroundshape.ttl;1;0.15387601299999432;0.1613289830000042
1;tyrol/childcarepath.ttl;1;0.24699393099999867;0.2573369639999967
1;tyrol/churchshape.ttl;1;0.3332657930000025;0.34542285799999917
1;tyrol/cityhallshape.ttl;1;0.061606271000002266;0.06362845999999678
1;tyrol/civicstructureshape.ttl;1;1.714753648999995;1.7981868539999937
1;tyrol/contactpointshape.ttl;1;5.302925770000002;5.524178116000002
1;tyrol/drycleaningorlaundryshape.ttl;1;0.6744218700000033;0.709332719999999
1;tyrol/educationalorganizationshape.ttl;1;0.41566501499999475;0.4362878509999959
1;tyrol/emergencyserviceshape.ttl;1;0.10393929900000387;0.11041836100000069
1;tyrol/entertainmentbusinessshape.ttl;1;0.9188905780000027;0.960771042999994
1;tyrol/eventshape.ttl;1;;
1;tyrol/financialserviceshape.ttl;1;0.4601133530000041;0.47638611199999303
1;tyrol/foodestablishmentshape.ttl;1;0.689561592000004;0.7262102259999992
1;tyrol/geocoordinatesshape.ttl;1;33.235008246999996;34.590236812
1;tyrol/geoshapeshape.ttl;1;2.0575811329999993;2.1541516030000025
1;tyrol/golfcourseshape.ttl;1;0.18669946100000345;0.19587865599999787
1;tyrol/governmentbuildingshape.ttl;1;0.2612083960000007;0.2827141389999994
1;tyrol/healthandbeautybusinessshape.ttl;1;0.9407463390000004;0.9723791320000004
1;tyrol/hotelshape.ttl;1;;
1;tyrol/icecreamshopshape.ttl;1;0.09024595300000016;0.09461721299999937
1;tyrol/imageobjectshape.ttl;1;149.699677285;156.343514657
1;tyrol/lakebodyofwatershape.ttl;1;0.06710473200000422;0.07029673400000291
1;tyrol/landmarksorhistoricalbuildingsshape.ttl;1;0.07850139600000006;0.08287242200000122
1;tyrol/libraryshape.ttl;1;0.0613906230000012;0.06308726599999659
1;tyrol/localbusinesshape.ttl;1;;
1;tyrol/locationfeaturespecificationshape.ttl;1;21.250708179;23.33487557000001
1;tyrol/movietheathershape.ttl;1;0.01429049499999735;0.014551455000002989
1;tyrol/offershape.ttl;1;24.203437385;24.788324098000004
1;tyrol/openinghoursspecificationshape.ttl;1;7.439175373999994;7.900836165999998
1;tyrol/organizationshape.ttl;1;1.737526405000004;1.8301174320000015
1;tyrol/parkshape.ttl;1;0.0360221420000002;0.037248564999998734
1;tyrol/personshape.ttl;1;0.26803446599999603;0.2968145259999986
1;tyrol/placeshape.ttl;1;46.359126772;47.693679018999994
1;tyrol/postaladdressshape.ttl;1;37.945616114;39.173726764
1;tyrol/ratingshape.ttl;1;0.11155547599999949;0.11732818400000156
1;tyrol/restaurantshape.ttl;1;5.294087415;5.601651957000001
1;tyrol/serviceshape.ttl;1;0.22245710900000404;0.22733026099999876
1;tyrol/skiresortshape.ttl;1;1.7324836539999993;1.830016030000003
1;tyrol/sportsactivityshape.ttl;1;10.57128496;11.249398549999995
1;tyrol/storeshape.ttl;1;0.004768703999999957;0.0047458259999970664
1;tyrol/touristattractionshape.ttl;1;0.740636864999999;0.7977487910000036
1;tyrol/touristinformationcentershape.ttl;1;0.19518849700000374;0.19998221000000171
1;tyrol/travelactionshape.ttl;1;0.4026219019999999;0.42012228800000173
1;tyrol/wineryshape.ttl;1;0.11905466799999687;0.12045743300000566
1;tyrol/aggregateratingshape.ttl;2;0.0011760020000011195;0.001238409999999135
1;tyrol/airportshape.ttl;2;0.055395390999997574;0.05827107100000006
1;tyrol/amusementparkshape.ttl;2;0.10169717799999489;0.10727057600000478
1;tyrol/automotivebusinessshape.ttl;2;0.43678680600000064;0.4501644660000039
1;tyrol/bakeryshape.ttl;2;0.5014396300000001;0.5236189620000005
1;tyrol/bankorcreditunionshape.ttl;2;0.2120119169999981;0.23099147799999997
1;tyrol/barorpubshape.ttl;2;2.731164211999996;2.813387781000003
1;tyrol/beachshape.ttl;2;0.03783461599999782;0.03889252399999776
1;tyrol/bodyofwatershape.ttl;2;0.10354975699999613;0.1090523099999956
1;tyrol/bowlingalleyshape.ttl;2;0.004678215999994961;0.0046587080000009
1;tyrol/busstationshape.ttl;2;0.0205999410000004;0.021064922999997293
1;tyrol/busstop.ttl;2;0.08900959800000408;0.09229126099999974
1;tyrol/cafeorcoffeeshopshape.ttl;2;2.3991890840000067;2.5526418379999996
1;tyrol/campgroundshape.ttl;2;0.15299844499999438;0.15975269699999473
1;tyrol/childcarepath.ttl;2;0.24733449800000074;0.2548292090000004
1;tyrol/churchshape.ttl;2;0.32836518799999936;0.34552578000000267
