benchmark;shape;run;validation_time;extraction_time
tyrol;tyrol/aggregateratingshape.ttl;1;0.0015296619999958239;0.0014974649999999201
tyrol;tyrol/airportshape.ttl;1;0.07053601100000151;0.07359747900000002
tyrol;tyrol/amusementparkshape.ttl;1;0.13225607399999717;0.1418471530000005
tyrol;tyrol/automotivebusinessshape.ttl;1;0.5710286590000067;0.602870007000007
tyrol;tyrol/bakeryshape.ttl;1;0.6744943859999921;0.7061980550000015
tyrol;tyrol/bankorcreditunionshape.ttl;1;0.2773686879999957;0.2939042539999974
tyrol;tyrol/barorpubshape.ttl;1;3.6475047520000032;3.846955674
tyrol;tyrol/beachshape.ttl;1;0.04568469400000197;0.04924139300000263
tyrol;tyrol/bodyofwatershape.ttl;1;0.1404950649999961;0.14737441300000853
tyrol;tyrol/bowlingalleyshape.ttl;1;0.004999007999998639;0.004915050999997561
tyrol;tyrol/busstationshape.ttl;1;0.025487894999997707;0.030679243999998107
tyrol;tyrol/busstop.ttl;1;0.12436484500000233;0.13670617700000776
tyrol;tyrol/cafeorcoffeeshopshape.ttl;1;3.3104889319999984;3.379252022000003
tyrol;tyrol/campgroundshape.ttl;1;0.20301485699999944;0.21592536699999698
tyrol;tyrol/childcarepath.ttl;1;0.32712126100000205;0.34062182099999916
tyrol;tyrol/churchshape.ttl;1;0.43313008599999137;0.464335461999994
tyrol;tyrol/cityhallshape.ttl;1;0.07917181500000936;0.08214843399998983
tyrol;tyrol/civicstructureshape.ttl;1;2.262312313999999;2.3884070340000108
tyrol;tyrol/contactpointshape.ttl;1;7.905415159;7.994071142999999
tyrol;tyrol/drycleaningorlaundryshape.ttl;1;0.9077604579999985;0.9378152390000025
tyrol;tyrol/educationalorganizationshape.ttl;1;0.528541006999987;0.5730611030000006
tyrol;tyrol/emergencyserviceshape.ttl;1;0.13275315699999624;0.14059972299999401
tyrol;tyrol/entertainmentbusinessshape.ttl;1;1.2377313539999903;1.3197812589999955
tyrol;tyrol/eventshape.ttl;1;;
tyrol;tyrol/financialserviceshape.ttl;1;0.5868857810000065;0.6332379689999925
tyrol;tyrol/foodestablishmentshape.ttl;1;0.9339290770000019;0.9812657969999918
tyrol;tyrol/geocoordinatesshape.ttl;1;43.94168217999999;45.53969716100001
tyrol;tyrol/geoshapeshape.ttl;1;2.691180502000009;2.88680033
tyrol;tyrol/golfcourseshape.ttl;1;0.24889676299999053;0.2613570719999956
tyrol;tyrol/governmentbuildingshape.ttl;1;0.3413698089999997;0.35865406700000335
tyrol;tyrol/healthandbeautybusinessshape.ttl;1;1.2666944630000074;1.3247692959999995
tyrol;tyrol/hotelshape.ttl;1;;
tyrol;tyrol/icecreamshopshape.ttl;1;0.11730444900000236;0.12545794500000795
tyrol;tyrol/imageobjectshape.ttl;1;205.92302285;208.374314222
